사용월,호선명,역ID,지하철역,04:00:00~04:59:59,,05:00:00~05:59:59,,06:00:00~06:59:59,,07:00:00~07:59:59,,08:00:00~08:59:59,,09:00:00~09:59:59,,10:00:00~10:59:59,,11:00:00~11:59:59,,12:00:00~12:59:59,,13:00:00~13:59:59,,14:00:00~14:59:59,,15:00:00~15:59:59,,16:00:00~16:59:59,,17:00:00~17:59:59,,18:00:00~18:59:59,,19:00:00~19:59:59,,20:00:00~20:59:59,,21:00:00~21:59:59,,22:00:00~22:59:59,,23:00:00~23:59:59,,00:00:00~00:59:59,,01:00:00~01:59:59,,02:00:00~02:59:59,,03:00:00~03:59:59,,작업일시
,,,,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,
2019-11,2호선,0246,신설동,34,3,"1,304",632,"1,500","2,022","3,246","6,106","6,443","15,814","5,370","12,012","5,137","9,240","6,629","9,136","7,861","8,230","8,978","8,934","10,120","8,073","11,129","7,335","12,090","6,094","14,304","6,468","17,583","6,543","7,025","5,215","4,115","3,371","3,430","3,251","2,590","2,922",898,"2,322",132,763,0,128,0,0,0,0,2019-12-03 11:43:20
2019-11,2호선,0247,도림천,0,0,464,362,"1,137",951,"2,919","5,414","3,825","6,577","2,196","2,248","2,124","1,590","1,741","1,377","2,068","1,889","1,824","1,347","2,106","1,759","2,520","1,634","3,662","1,891","3,165","2,151","3,512","2,820","1,926","2,499",984,"1,649",817,"1,470",523,"1,193",248,"1,058",51,351,0,9,0,0,0,0,2019-12-03 11:43:20
2019-11,2호선,0248,양천구청,27,3,"4,837",981,"11,529","2,602","35,544","6,040","37,017","11,415","22,252","6,680","14,566","5,971","13,279","6,075","13,863","7,661","11,952","9,663","9,957","10,107","9,237","12,450","10,555","15,560","11,755","20,819","10,367","31,749","4,800","29,146","3,325","16,871","2,882","15,051","2,535","15,344",928,"12,398",171,"4,062",0,139,0,0,0,0,2019-12-03 11:43:20
2019-11,2호선,0249,신정네거리,70,2,"9,025","2,773","14,225","9,271","46,960","5,126","45,954","13,246","26,572","9,789","18,712","8,355","16,201","8,660","16,318","9,866","15,355","12,480","13,262","13,966","12,813","16,758","16,554","21,387","18,618","29,472","14,548","44,473","8,390","37,591","6,009","22,333","4,763","18,859","4,357","18,887","1,900","12,880",338,"3,697",5,273,0,1,0,0,2019-12-03 11:43:20
2019-11,2호선,0250,용두(동대문구청),26,0,"1,249",195,"1,615","1,060","5,205","2,179","8,489","6,473","4,537","4,284","3,780","3,305","3,845","4,179","4,547","4,110","4,573","5,096","4,864","4,896","5,256","5,245","5,694","5,100","5,971","5,331","6,500","8,329","3,107","6,313","2,217","3,384","1,846","3,238","1,305","2,617",531,"1,877",90,563,0,11,0,0,0,0,2019-12-03 11:43:20
2019-11,3호선,0309,지축,0,0,239,616,"1,555","2,526","5,458","2,302","6,812","2,516","4,208","1,735","2,770","1,569","2,276","1,561","2,456","1,571","2,280","1,796","2,056","2,109","2,496","2,634","3,543","3,116","4,005","3,644","2,105","5,090",868,"4,292",448,"3,135",309,"2,635",220,"2,030",131,952,27,226,0,1,0,0,0,0,2019-12-03 11:43:20
2019-11,3호선,0310,구파발,176,14,"10,462","1,470","31,729","10,129","96,774","24,808","101,555","33,752","55,839","31,431","36,470","28,966","32,858","25,642","34,216","28,598","33,616","31,415","33,019","31,121","35,932","33,037","41,777","40,542","44,211","47,895","39,683","75,660","24,771","70,466","19,370","41,681","17,142","37,818","14,331","35,274","5,046","25,934",822,"8,989",1,303,1,0,0,0,2019-12-03 11:43:20
2019-11,3호선,0311,연신내,292,25,"28,566","2,415","55,572","13,926","151,911","28,696","189,032","40,064","110,099","43,175","73,330","39,711","66,032","40,054","71,048","45,096","67,892","51,422","61,808","54,534","61,950","65,636","71,113","81,284","67,930","100,327","59,747","151,739","41,948","144,537","32,750","86,782","31,094","79,104","27,218","75,501","13,716","52,244","2,566","17,090",1,11,0,0,0,0,2019-12-03 11:43:20
2019-11,3호선,0312,불광,45,2,"10,318","1,261","20,216","6,960","58,762","11,404","73,197","35,933","42,549","37,733","30,567","31,490","28,928","28,722","29,921","30,906","32,526","36,229","31,547","36,190","33,289","36,920","35,815","42,943","37,593","49,528","38,680","68,645","22,261","59,104","17,675","34,530","16,713","30,493","11,828","28,840","5,148","18,974",885,"6,012",0,0,0,0,0,0,2019-12-03 11:43:20
2019-11,3호선,0313,녹번,18,1,"8,749","1,640","21,602","12,009","64,333","7,702","76,276","18,646","44,599","13,794","27,477","10,244","23,338","9,779","23,756","11,739","21,552","13,981","18,960","15,203","18,316","18,049","21,824","24,891","23,764","31,999","22,280","50,156","10,679","48,241","7,713","29,620","6,483","28,401","5,394","25,785","2,344","17,460",311,"5,078",0,0,0,0,0,0,2019-12-03 11:43:20
2019-11,3호선,0314,홍제,65,2,"9,421","1,512","23,134","9,382","67,419","12,707","84,496","31,064","52,307","27,273","36,030","23,454","33,063","20,896","34,784","23,342","33,973","26,598","30,554","27,679","31,915","32,583","34,638","40,015","38,604","47,743","36,477","66,905","18,762","58,122","14,890","36,584","12,474","33,748","9,347","32,053","4,179","20,424",750,"5,943",0,0,0,0,0,0,2019-12-03 11:43:20
2019-11,3호선,0315,무악재,21,0,"2,025",253,"4,957","1,680","16,777","3,184","19,908","6,608","12,465","4,934","8,637","4,329","7,388","4,404","7,083","4,646","6,744","5,370","5,876","5,822","5,460","7,033","5,949","8,869","6,580","10,927","7,525","15,869","3,291","14,377","2,350","9,230","2,254","8,943","1,561","8,888",768,"5,757",101,"1,659",0,0,0,1,0,0,2019-12-03 11:43:20
2019-11,3호선,0316,독립문,133,1,"5,326",792,"6,609","5,722","18,703","17,531","24,188","23,090","18,846","21,637","15,280","19,339","16,340","13,839","18,034","13,427","17,511","15,541","17,748","15,411","19,485","14,765","22,522","16,032","19,321","17,534","18,720","21,465","9,469","17,635","7,037","11,243","5,810","10,288","4,389","9,951","1,415","6,464",217,"3,039",1,997,0,0,0,0,2019-12-03 11:43:20
2019-11,3호선,0317,경복궁(정부서울청사),201,0,"3,836","1,543","6,526","14,183","16,077","45,038","24,221","138,682","25,626","102,463","22,975","75,776","31,129","64,048","38,382","57,524","50,898","61,587","58,447","53,218","70,961","44,846","93,543","39,709","109,494","42,098","133,201","47,280","57,312","32,685","43,412","17,290","51,543","14,117","34,613","13,623","12,323","8,184","1,760","2,573",0,48,0,0,0,0,2019-12-03 11:43:20
2019-11,3호선,0318,안국,43,2,"1,950","2,356","3,490","20,672","7,103","106,563","10,900","128,809","12,991","94,079","16,368","71,766","25,221","73,960","36,587","64,138","43,991","63,766","55,792","58,697","69,725","47,837","90,069","41,466","134,592","38,368","139,509","34,983","60,271","17,681","48,089","9,179","44,782","7,210","27,510","7,234","8,550","4,191","1,085","1,431",0,0,0,1,0,0,2019-12-03 11:43:20
2019-11,3호선,0319,종로3가,14,1,"1,006",915,"1,554","5,270","2,212","14,191","3,550","51,936","5,547","54,488","7,853","38,160","10,492","30,725","12,688","29,339","14,878","29,557","18,310","28,473","22,972","26,102","26,209","23,403","35,119","23,025","59,654","23,866","40,229","14,940","21,398","7,335","22,701","5,357","17,256","4,449","7,773","3,012","1,057","1,094",2,21,0,1,0,0,2019-12-03 11:43:20
2019-11,3호선,0320,을지로3가,2,1,633,"1,032","1,409","8,480","2,714","31,487","4,989","84,197","8,289","43,088","10,316","21,937","12,100","18,415","12,672","17,047","15,328","17,693","17,702","16,015","19,632","16,033","22,640","16,045","38,988","19,234","73,338","22,381","34,989","13,875","22,837","6,769","22,279","5,056","17,756","3,723","9,939","2,303","1,619",603,3,8,0,1,0,0,2019-12-03 11:43:20
2019-11,3호선,0321,충무로,0,0,0,0,0,0,0,0,2,0,0,0,1,0,2,0,0,0,2,0,3,0,3,0,2,0,1,0,2,0,8,0,3,0,4,0,1,0,1,0,1,0,0,0,0,0,0,0,2019-12-03 11:43:20
2019-11,3호선,0322,동대입구,16,3,"1,775","1,307","2,762","8,139","5,862","22,347","9,923","77,911","8,715","48,647","11,433","48,755","14,261","40,232","16,989","28,730","23,512","32,796","24,250","27,414","28,784","24,332","34,610","21,681","53,153","25,614","57,290","28,386","32,165","13,674","39,052","7,727","30,018","6,628","20,848","5,540","7,330","4,101",895,"1,567",1,127,0,0,0,0,2019-12-03 11:43:20
2019-11,3호선,0323,약수,128,3,"6,813","1,223","11,159","5,874","29,303","16,490","45,825","38,568","32,884","27,180","23,267","18,587","21,813","16,912","24,238","17,573","25,318","19,719","22,921","20,572","23,216","22,265","26,649","26,606","30,324","33,444","38,654","47,333","22,979","34,734","18,170","22,483","17,559","21,241","13,763","19,731","6,430","13,032","1,173","5,006",4,782,0,0,0,0,2019-12-03 11:43:20
2019-11,3호선,0324,금호,49,8,"5,194",600,"10,556","2,871","29,296","4,566","43,571","9,627","28,578","7,686","18,136","6,876","14,972","7,428","14,024","9,035","14,279","10,816","12,010","12,106","11,543","14,891","12,286","17,956","13,909","23,473","13,425","32,642","8,801","25,788","6,610","18,046","5,199","16,490","4,136","15,362","1,946","9,507",399,"2,727",0,0,0,0,0,0,2019-12-03 11:43:20
2019-11,3호선,0325,옥수,265,11,"3,405","1,130","9,859","4,684","26,670","8,138","40,281","18,171","27,078","13,410","18,948","9,570","17,145","11,043","16,295","12,809","17,431","14,121","15,800","15,861","15,646","18,644","17,900","21,545","20,155","27,300","20,666","38,229","13,243","30,147","10,065","21,046","8,810","19,339","6,451","18,700","2,929","10,848",526,"2,883",0,0,0,0,0,0,2019-12-03 11:43:20
2019-11,3호선,0326,압구정,65,2,"3,302","2,248","8,768","23,990","18,085","50,658","32,928","159,046","25,200","167,433","28,695","87,570","37,926","74,943","45,819","60,056","51,789","65,857","61,852","61,138","69,904","57,412","80,422","57,387","97,363","67,971","153,273","77,651","110,313","47,349","84,339","22,332","65,995","17,467","50,171","14,712","17,647","8,774","2,312","3,531",6,349,0,0,0,0,2019-12-03 11:43:20
2019-11,3호선,0327,신사,86,7,"4,164","1,593","6,869","21,671","12,999","44,050","22,712","119,184","19,878","140,491","21,219","78,971","27,951","61,690","35,547","61,974","43,514","67,451","52,388","65,258","62,064","61,802","75,491","61,508","99,207","72,152","152,523","95,891","110,724","60,864","76,376","27,851","83,220","19,209","72,293","14,860","30,837","10,291","4,183","4,001",1,2,0,0,0,0,2019-12-03 11:43:20
2019-11,3호선,0328,잠원,11,0,"1,534",671,"6,282","5,323","18,409","8,572","29,600","12,271","18,917","8,692","12,352","6,814","12,274","6,700","11,541","8,258","11,752","10,079","10,022","9,869","10,674","10,972","12,433","12,442","14,144","15,878","14,114","21,786","7,940","16,770","5,361","11,072","4,947","11,258","3,690","11,898","1,219","6,970",158,"2,081",0,0,0,0,0,0,2019-12-03 11:43:20
2019-11,3호선,0329,고속터미널,226,1,"7,350","4,535","8,512","39,009","28,446","60,136","56,552","96,607","66,845","115,214","71,648","109,938","86,109","129,745","103,726","124,101","117,777","126,350","129,127","133,891","142,412","140,631","156,585","144,517","177,691","151,763","170,805","167,533","155,561","111,619","170,254","67,918","121,736","51,288","81,838","38,100","31,328","20,341","3,188","3,260",1,6,0,0,0,0,2019-12-03 11:43:20
2019-11,3호선,0330,교대(법원.검찰청),11,1,"1,291",557,"3,395","6,396","9,962","18,580","14,711","52,300","12,128","39,194","13,470","20,697","17,663","14,351","19,390","13,118","24,917","14,480","28,272","13,008","29,742","12,543","32,692","13,237","46,727","18,479","73,122","24,642","33,842","14,110","31,453","6,829","30,903","5,403","27,394","4,772","10,911","3,203","1,681","1,071",0,3,0,1,0,0,2019-12-03 11:43:20
2019-11,3호선,0331,남부터미널(예술의전당),53,0,"3,145","1,287","8,888","28,954","30,524","60,315","53,182","179,190","46,773","96,110","46,195","59,573","50,810","48,235","55,425","51,093","57,460","58,229","58,525","60,665","61,364","61,788","74,059","68,316","106,247","74,630","159,999","86,007","79,336","62,813","61,721","34,214","56,834","27,600","45,102","22,038","16,272","12,495","1,848","3,466",0,0,0,0,0,0,2019-12-03 11:43:20
2019-11,3호선,0332,양재(서초구청),147,0,"5,974","2,985","15,104","41,646","37,873","106,580","54,981","274,065","41,279","153,239","37,303","74,663","42,691","66,243","50,541","58,263","59,972","66,148","63,878","57,847","73,013","56,632","89,778","58,572","135,707","77,130","230,388","97,971","113,803","68,257","80,356","39,156","78,465","33,989","60,085","30,862","21,520","18,372","2,341","5,527",0,36,0,0,0,0,2019-12-03 11:43:20
2019-11,3호선,0333,매봉,22,0,"1,580",664,"6,452","10,983","16,810","20,158","23,087","73,673","16,636","36,218","13,661","15,627","14,390","15,090","14,005","13,529","15,403","13,936","17,969","13,213","19,552","13,616","23,254","14,767","34,078","19,035","65,942","23,846","25,562","18,289","16,236","10,470","17,092","9,721","11,281","9,658","4,013","6,028",488,"1,740",0,89,0,0,0,0,2019-12-03 11:43:20
2019-11,3호선,0334,도곡,36,0,"1,084",246,"3,740","4,050","10,464","12,664","15,243","24,635","10,262","20,658","7,944","9,520","8,283","9,392","8,392","9,381","9,686","9,684","9,682","9,103","11,384","8,532","14,705","9,799","18,741","11,184","22,797","12,820","11,988","11,277","7,558","6,544","7,453","6,188","5,184","5,686","1,748","3,569",245,"2,241",0,435,0,0,0,0,2019-12-03 11:43:20
2019-11,3호선,0335,대치,8,0,"2,737",738,"12,179","8,648","29,821","13,955","33,861","28,448","21,079","21,682","15,954","16,097","16,151","15,123","18,162","20,590","19,595","24,999","17,648","21,202","20,630","23,235","24,404","32,203","31,753","35,854","32,711","34,782","25,039","29,422","16,070","16,067","20,203","15,744","32,280","14,912","4,433","8,988",544,"3,321",0,25,0,0,0,0,2019-12-03 11:43:20
2019-11,3호선,0336,학여울,1,0,506,260,"1,660","1,775","4,304","3,881","5,375","9,960","3,818","8,947","3,112","8,207","3,969","7,109","5,507","7,946","6,314","8,733","7,135","7,213","8,758","6,032","10,776","4,749","12,050","4,502","11,164","4,807","3,761","4,204","2,516","2,694","2,352","2,533","1,620","2,407",377,"1,532",58,620,0,2,0,0,0,0,2019-12-03 11:43:20
2019-11,3호선,0337,대청,37,2,"4,037","1,374","10,551","7,321","30,285","17,596","38,305","28,192","23,735","13,937","18,224","9,755","16,882","10,231","16,588","10,878","17,364","12,751","15,697","13,371","18,279","15,661","26,160","17,779","25,767","20,722","29,785","27,820","13,071","26,267","9,498","17,429","8,524","16,038","6,141","17,544","2,292","10,383",291,"3,746",1,14,0,0,0,0,2019-12-03 11:43:20
2019-11,3호선,0338,일원,12,0,"2,183","1,576","8,389","8,674","24,969","28,493","27,557","29,149","19,645","21,662","18,635","20,309","20,047","15,636","20,960","17,415","18,441","19,180","19,122","17,966","22,589","15,964","29,593","15,824","34,943","18,212","19,879","23,367","11,427","20,500","9,410","12,898","6,805","12,269","4,236","12,248","1,497","6,564",206,"2,149",0,25,0,0,0,0,2019-12-03 11:43:20
2019-11,3호선,0339,수서,195,6,"5,033","2,273","13,168","16,773","40,181","33,592","52,987","58,401","37,190","35,891","36,968","25,308","29,185","20,850","35,571","27,539","34,265","26,338","26,036","26,547","35,210","31,617","42,253","36,170","46,559","43,158","60,378","57,840","28,661","45,219","26,362","31,749","18,342","27,325","17,935","27,334","9,492","11,888","1,112","5,155",0,343,0,0,0,0,2019-12-03 11:43:20
2019-11,3호선,0340,가락시장,13,0,"2,788",607,"7,548","5,525","23,394","10,255","28,395","32,784","20,924","16,768","17,361","12,346","17,025","13,022","16,835","14,303","17,277","15,362","16,749","15,953","17,485","18,564","19,603","18,994","22,033","24,366","33,072","31,676","14,998","24,340","12,127","15,017","11,463","13,492","9,060","12,808","3,815","8,084",514,"2,628",0,78,0,0,0,0,2019-12-03 11:43:20
2019-11,3호선,0341,경찰병원,7,0,"2,595",277,"7,261","3,193","24,839","7,603","30,702","33,022","19,249","16,381","13,942","10,522","12,723","7,805","11,574","9,862","12,593","11,255","12,337","10,799","11,899","10,828","12,790","11,901","17,039","16,631","23,255","23,476","8,809","19,940","6,499","12,623","6,099","11,272","4,351","10,805","1,482","7,431",224,"2,079",0,0,0,0,0,0,2019-12-03 11:43:20
2019-11,3호선,0342,오금,10,0,"3,706",7,"7,980","1,918","28,421","5,637","36,779","16,506","19,211","7,525","11,796","6,138","10,380","5,105","10,615","5,999","10,038","7,018","8,184","7,588","8,004","9,440","9,463","11,109","12,127","14,817","15,052","22,493","6,342","18,720","4,453","12,610","4,082","11,565","3,507","12,391","1,147","7,603",162,"2,429",0,3,0,0,0,0,2019-12-03 11:43:20
2019-11,4호선,0409,당고개,71,1,"9,486",17,"18,303","7,522","57,157","10,373","58,925","15,325","37,830","14,480","26,495","13,574","23,230","12,438","22,350","14,226","21,943","16,335","19,758","17,431","18,907","20,474","21,169","25,177","21,961","29,572","20,050","42,480","13,811","39,432","8,381","28,288","6,638","25,426","5,125","24,873","2,420","18,599",485,"6,248",2,624,0,0,0,0,2019-12-03 11:43:20
2019-11,4호선,0410,상계,84,4,"14,413",202,"36,515","8,095","102,194","17,653","97,208","22,877","55,560","18,031","38,224","15,868","33,197","16,204","33,844","20,226","32,953","22,593","27,119","24,765","25,957","29,096","30,727","38,508","29,192","48,395","28,441","70,267","18,023","67,861","13,672","43,153","12,670","39,107","12,775","37,365","4,673","28,550",807,"9,321",5,920,0,0,0,0,2019-12-03 11:43:20
2019-11,4호선,0411,노원,108,4,"13,106",582,"27,083","9,762","61,897","15,937","70,360","32,818","42,118","38,391","33,348","27,687","32,139","27,006","34,838","31,770","35,213","35,642","33,416","37,330","34,538","40,527","39,394","49,159","40,684","64,184","41,649","95,254","31,040","85,189","32,543","50,053","29,585","43,920","29,715","40,283","15,278","29,718","2,801","10,583",3,547,0,1,0,0,2019-12-03 11:43:20
2019-11,4호선,0412,창동,"1,945",70,"18,021","3,641","38,397","12,504","111,490","21,512","103,019","48,094","66,152","41,718","50,094","36,579","47,931","32,525","48,944","38,759","47,653","46,064","44,278","50,015","45,662","54,860","51,888","64,989","55,246","76,076","57,412","107,534","31,177","101,364","24,587","65,187","23,692","56,944","20,703","52,677","9,977","37,248","1,630","14,206",0,42,0,0,0,0,2019-12-03 11:43:20
2019-11,4호선,0413,쌍문,113,2,"24,487","1,265","54,961","10,846","144,100","16,202","158,903","33,190","97,760","25,933","65,125","22,347","55,001","23,932","54,511","29,614","49,460","33,948","41,964","37,361","40,553","45,750","44,372","58,291","45,521","74,723","43,338","113,187","28,704","115,777","20,054","73,357","17,009","64,294","13,323","64,555","6,659","43,885","1,104","15,257",1,33,1,1,0,0,2019-12-03 11:43:20
2019-11,4호선,0414,수유(강북구청),115,6,"22,413","4,094","47,102","12,782","131,617","22,736","154,928","62,819","96,832","47,009","65,131","37,403","58,971","37,850","61,963","40,718","61,196","45,743","55,274","52,160","55,306","60,593","61,084","72,237","67,041","92,536","76,480","139,363","46,268","134,453","35,283","84,247","31,004","74,015","26,110","73,941","15,439","49,354","2,580","13,735",3,13,0,1,0,0,2019-12-03 11:43:20
2019-11,4호선,0415,미아(서울사이버대학),22,1,"11,124","1,726","21,929","5,898","57,725","18,802","66,519","43,618","42,510","23,623","29,527","17,960","27,861","21,526","29,626","21,268","28,963","22,071","27,778","23,773","27,152","26,937","29,169","32,395","34,226","38,799","34,384","51,845","20,664","48,046","15,189","29,669","12,931","26,645","10,893","25,954","3,924","17,372",612,"4,849",0,0,0,0,0,0,2019-12-03 11:43:20
2019-11,4호선,0416,미아사거리,52,6,"15,669","2,578","39,193","9,346","107,024","22,724","125,156","38,345","75,382","39,479","50,568","31,515","46,075","33,538","49,079","37,865","49,528","41,070","46,686","45,657","50,032","54,402","54,829","62,975","54,133","77,244","55,426","117,285","40,340","102,061","38,215","59,410","24,761","55,060","19,816","52,518","10,563","32,622","1,801","8,291",0,1,0,0,0,0,2019-12-03 11:43:20
2019-11,4호선,0417,길음,23,3,"10,080","2,280","30,439","9,061","93,034","15,975","106,252","42,713","59,726","35,830","39,471","30,587","34,306","32,401","36,559","28,659","36,515","33,824","33,770","34,434","37,227","35,646","41,865","42,297","49,105","54,782","48,257","81,151","27,664","71,140","20,282","44,415","16,540","41,924","15,934","44,098","7,112","28,892","1,204","7,033",3,3,0,0,0,0,2019-12-03 11:43:20
2019-11,4호선,0418,성신여대입구(돈암),60,2,"6,115","1,993","19,228","7,427","53,504","19,737","69,961","51,174","47,379","34,155","35,092","28,778","35,379","36,883","40,263","31,587","40,201","35,735","41,220","38,830","44,739","38,959","47,845","45,343","58,451","57,502","63,062","80,811","40,318","68,106","35,439","42,889","38,425","37,798","36,170","38,822","18,332","26,300","2,976","7,203",0,1,0,0,0,0,2019-12-03 11:43:20
2019-11,4호선,0419,한성대입구(삼선교),75,9,"7,923","1,322","13,955","8,368","36,177","21,420","48,604","43,356","33,092","31,483","24,472","24,141","24,736","25,405","28,081","24,642","29,863","26,598","29,526","25,319","32,585","25,728","39,702","29,544","40,242","36,853","41,080","45,144","24,396","37,577","21,798","24,192","21,099","21,861","17,507","22,947","8,255","15,217","1,306","9,258",2,"1,336",0,1,0,0,2019-12-03 11:43:20
2019-11,4호선,0420,혜화,37,3,"4,286","2,425","8,008","21,350","19,514","54,428","27,892","144,378","30,263","112,044","36,396","87,604","49,210","85,666","57,454","88,923","60,412","109,048","67,874","99,462","97,335","82,302","110,525","81,265","133,898","96,948","154,578","116,239","94,290","86,666","92,025","31,547","122,966","26,953","120,664","24,016","49,716","16,551","6,911","6,171",0,206,0,0,0,0,2019-12-03 11:43:20
